Admission	GRE	GPA
0	540	3.279999971
0	680	3.99000001
1	480	3.019999981
0	800	3.470000029
0	800	2.900000095
1	720	3.5
0	620	3.579999924
0	540	3.019999981
0	480	3.430000067
1	720	3.420000076
0	580	3.289999962
0	600	3.279999971
0	380	3.380000114
0	420	2.670000076
1	800	3.529999971
0	620	3.049999952
1	660	3.49000001
0	480	4
0	500	2.859999895
0	700	3.450000048
0	440	2.75999999
1	520	3.809999943
1	680	2.960000038
0	620	3.220000029
0	540	3.039999962
0	800	3.910000086
0	680	3.339999914
0	440	3.170000076
0	680	3.640000105
0	640	3.730000019
0	660	3.309999943
0	620	3.210000038
1	520	4
1	540	3.549999952
1	740	3.519999981
0	640	3.349999905
1	520	3.299999952
1	620	3.950000048
0	520	3.50999999
0	640	3.809999943
0	680	3.109999895
0	440	3.150000095
1	520	3.190000057
1	620	3.950000048
1	520	3.900000095
0	380	3.339999914
0	560	3.24000001
1	600	3.640000105
1	680	3.460000038
0	500	2.809999943
1	640	3.950000048
0	540	3.329999924
1	680	3.670000076
0	660	3.319999933
0	520	3.119999886
1	600	2.980000019
0	460	3.769999981
1	580	3.579999924
1	680	3
1	660	3.140000105
0	660	3.940000057
0	360	3.269999981
0	660	3.450000048
0	520	3.099999905
1	440	3.390000105
0	600	3.309999943
1	800	3.220000029
1	660	3.700000048
0	800	3.150000095
0	420	2.25999999
1	620	3.450000048
0	800	2.779999971
0	680	3.700000048
0	800	3.970000029
0	480	2.549999952
0	520	3.25
0	560	3.160000086
0	460	3.069999933
0	540	3.5
0	720	3.400000095
0	640	3.299999952
1	660	3.599999905
1	400	3.150000095
1	680	3.980000019
0	220	2.829999924
0	580	3.460000038
1	540	3.170000076
0	580	3.50999999
0	540	3.130000114
0	440	2.980000019
0	560	4
0	660	3.670000076
0	660	3.769999981
1	520	3.650000095
0	540	3.460000038
1	300	2.839999914
1	340	3
1	780	3.630000114
1	480	3.710000038
0	540	3.279999971
0	460	3.140000105
0	460	3.579999924
0	500	3.00999999
0	420	2.690000057
0	520	2.700000048
0	680	3.900000095
0	680	3.309999943
1	560	3.480000019
0	580	3.339999914
0	500	2.930000067
0	740	4
0	660	3.589999914
0	420	2.960000038
0	560	3.430000067
1	460	3.640000105
1	620	3.710000038
0	520	3.150000095
0	620	3.089999914
0	540	3.200000048
1	660	3.470000029
0	500	3.230000019
1	560	2.650000095
0	500	3.950000048
0	580	3.059999943
0	520	3.349999905
0	500	3.029999971
0	600	3.349999905
0	580	3.799999952
0	400	3.359999895
0	620	2.849999905
1	780	4
0	620	3.430000067
1	580	3.119999886
0	700	3.519999981
1	540	3.779999971
1	760	2.809999943
0	700	3.269999981
0	720	3.309999943
1	560	3.690000057
0	720	3.940000057
1	520	4
1	540	3.49000001
0	680	3.140000105
0	460	3.440000057
1	560	3.359999895
0	480	2.779999971
0	460	2.930000067
0	620	3.630000114
0	580	4
0	800	3.890000105
1	540	3.769999981
1	680	3.75999999
1	680	2.420000076
1	620	3.369999886
0	560	3.779999971
0	560	3.49000001
0	620	3.630000114
1	800	4
0	640	3.119999886
0	540	2.700000048
0	700	3.650000095
1	540	3.49000001
0	540	3.50999999
0	660	4
1	480	2.619999886
0	420	3.019999981
1	740	3.859999895
0	580	3.359999895
0	640	3.170000076
0	640	3.50999999
1	800	3.049999952
1	660	3.880000114
1	600	3.380000114
1	620	3.75
1	460	3.99000001
0	620	4
0	560	3.039999962
0	460	2.630000114
0	700	3.650000095
0	600	3.890000105
