nameLast	Player	Age	AgeD	PA	OB
Rivera	28	28	-2	44	13
Rivera	28	29	-1	280	79
Rivera	28	30	0	572	190
Rivera	28	31	1	455	142
Rivera	28	32	2	521	166
Rivera	28	33	3	339	97
Rollins	29	21	-9	55	19
Rollins	29	22	-8	711	230
Rollins	29	23	-7	699	214
Rollins	29	24	-6	684	219
Rollins	29	25	-5	719	250
Rollins	29	26	-4	730	247
Rollins	29	27	-3	758	253
Rollins	29	28	-2	778	268
Rollins	29	29	-1	622	217
Rollins	29	30	0	723	214
Rollins	29	31	1	394	126
Rollins	29	32	2	631	213
Rollins	29	33	3	697	220
Rollins	29	34	4	663	211
Rollins	29	35	5	606	196
Rollins	29	36	6	562	160
Rollins	29	37	7	166	49
Scott	30	27	-3	89	24
Scott	30	28	-2	249	106
Scott	30	29	-1	425	149
Scott	30	30	0	536	180
Scott	30	31	1	506	172
Scott	30	32	2	517	190
Scott	30	33	3	236	71
Scott	30	34	4	344	98
Scott	30	35	5	291	95
Torres	32	24	-6	79	21
Torres	32	25	-5	179	47
Torres	32	26	-4	0	0
Torres	32	27	-3	21	4
Torres	32	31	1	169	58
Torres	32	32	2	565	194
Torres	32	33	3	394	123
Torres	32	34	4	431	141
Torres	32	35	5	298	90
Torrealba	31	22	-8	4	2
Torrealba	31	23	-7	152	54
Torrealba	31	24	-6	218	68
Torrealba	31	25	-5	192	58
Torrealba	31	26	-4	219	65
Torrealba	31	27	-3	239	70
Torrealba	31	28	-2	437	141
Torrealba	31	29	-1	256	75
Torrealba	31	30	0	239	84
Torrealba	31	31	1	362	124
Torrealba	31	32	2	418	128
Torrealba	31	33	3	215	63
Torrealba	31	34	4	193	57
Utley	33	24	-6	152	49
Utley	33	25	-5	286	88
Utley	33	26	-4	628	236
Utley	33	27	-3	739	280
Utley	33	28	-2	612	251
Utley	33	29	-1	706	268
Utley	33	30	0	687	273
Utley	33	31	1	511	198
Utley	33	32	2	453	156
Utley	33	33	3	362	132
Utley	33	34	4	531	185
Utley	33	35	5	664	225
Utley	33	36	6	423	121
Utley	33	37	7	564	180
Utley	33	38	8	352	114
Utley	33	39	9	187	57
Valdez	34	26	-4	45	12
Valdez	34	27	-3	147	36
Valdez	34	29	-1	80	21
Valdez	34	31	1	95	31
Valdez	34	32	2	356	109
Valdez	34	33	3	293	86
Valdez	34	34	4	203	48
Wells	35	20	-10	92	27
Wells	35	21	-9	2	0
Wells	35	22	-8	103	36
Wells	35	23	-7	646	197
Wells	35	24	-6	735	264
Wells	35	25	-5	590	199
Wells	35	26	-4	678	217
Wells	35	27	-3	677	242
Wells	35	28	-2	642	195
Wells	35	29	-1	466	160
Wells	35	30	0	684	213
Wells	35	31	1	646	214
Wells	35	32	2	529	131
Wells	35	33	3	262	73
Wells	35	34	4	458	129
Wise	36	22	-8	24	5
Wise	36	24	-6	116	24
Wise	36	26	-4	173	47
Wise	36	28	-2	38	7
Wise	36	29	-1	6	2
Wise	36	30	0	140	41
Wise	36	31	1	149	39
Wise	36	32	2	117	33
Wise	36	33	3	104	24
Wise	36	34	4	239	70
Wise	36	35	5	66	17
