Player	Age	FG	FGA	FT	FTA
JOHNSON	34	277	638	160	195
JOHNSON	35	206	475	118	140
JOHNSON	36	137	294	172	201
KIDD	21	330	857	192	275
KIDD	22	493	1293	229	331
KIDD	23	426	1058	224	330
KIDD	24	357	859	167	209
KIDD	25	310	698	181	239
KIDD	26	350	855	203	245
KIDD	27	451	1097	328	403
KIDD	28	445	1138	201	247
KIDD	29	515	1244	339	403
KIDD	30	368	959	206	249
KIDD	31	340	855	142	192
KIDD	32	366	905	194	244
KIDD	33	369	908	179	230
KIDD	34	610	1586	270	330
KIDD	35	257	618	86	105
KIDD	36	284	671	80	99
KIDD	37	215	596	67	77
KIDD	38	99	273	22	28
KIDD	39	152	409	40	48
NASH	22	74	175	42	51
NASH	23	268	584	74	86
NASH	24	114	314	38	46
NASH	25	173	363	75	85
NASH	26	386	792	231	258
NASH	27	525	1088	260	293
NASH	28	518	1114	308	339
NASH	29	397	845	230	251
NASH	30	430	857	211	238
NASH	31	541	1056	257	279
NASH	32	517	971	222	247
NASH	33	485	962	222	245
NASH	34	428	851	196	210
NASH	35	499	985	211	225
NASH	36	399	811	227	249
NASH	37	295	555	127	142
NASH	38	236	475	107	116
NASH	39	36	94	22	24
PAYTON	22	259	575	69	97
PAYTON	23	331	734	99	148
PAYTON	24	476	963	151	196
PAYTON	25	584	1159	166	279
PAYTON	26	685	1345	249	348
PAYTON	27	618	1276	229	306
PAYTON	28	706	1482	254	355
PAYTON	29	579	1278	279	375
PAYTON	30	401	923	199	276
PAYTON	31	747	1666	311	423
PAYTON	32	725	1591	271	354
PAYTON	33	737	1578	267	335
PAYTON	34	1330	2932	500	704
PAYTON	35	482	1024	180	252
PAYTON	36	339	725	153	201
PAYTON	37	230	547	100	126
PAYTON	38	144	366	38	57
PRICE	22	173	424	95	114
PRICE	23	493	974	221	252
PRICE	24	529	1006	263	292
PRICE	25	489	1066	300	338
PRICE	26	97	195	59	62
PRICE	27	438	897	270	285
PRICE	28	477	986	289	305
PRICE	29	480	1005	238	268
PRICE	30	253	612	148	162
PRICE	31	18	60	10	10
PRICE	32	263	589	155	171
PRICE	33	229	531	87	103
ROBERTSON	22	756	1600	653	794
ROBERTSON	23	866	1810	700	872
ROBERTSON	24	825	1593	614	758
ROBERTSON	25	840	1740	800	938
ROBERTSON	26	807	1681	665	793
ROBERTSON	27	818	1723	742	881
ROBERTSON	28	838	1699	736	843
ROBERTSON	29	660	1321	576	660
ROBERTSON	30	656	1351	643	767
ROBERTSON	31	647	1267	454	561
ROBERTSON	32	592	1193	385	453
ROBERTSON	33	419	887	276	330
ROBERTSON	34	446	983	238	281
ROBERTSON	35	338	772	212	254
STOCKTON	22	157	333	142	193
STOCKTON	23	228	466	172	205
STOCKTON	24	231	463	179	229
STOCKTON	25	454	791	272	324
STOCKTON	26	497	923	390	452
STOCKTON	27	472	918	354	432
STOCKTON	28	496	978	363	434
STOCKTON	29	453	939	308	366
STOCKTON	30	437	899	293	367
STOCKTON	31	458	868	272	338
STOCKTON	32	429	791	246	306
STOCKTON	33	440	818	234	282
STOCKTON	34	416	759	275	325
STOCKTON	35	270	511	191	231
STOCKTON	36	200	410	137	169
STOCKTON	37	363	725	221	257
STOCKTON	38	328	651	227	278
STOCKTON	39	401	775	275	321
STOCKTON	40	309	640	237	287
THOMAS	20	453	1068	302	429
THOMAS	21	725	1537	368	518
THOMAS	22	669	1448	388	529
THOMAS	23	646	1410	399	493
THOMAS	24	609	1248	365	462
THOMAS	25	626	1353	400	521
THOMAS	26	621	1341	305	394
THOMAS	27	569	1227	287	351
THOMAS	28	579	1322	292	377
THOMAS	29	289	665	179	229
THOMAS	30	564	1264	292	378
THOMAS	31	526	1258	278	377
THOMAS	32	318	763	181	258
WILKINS	23	333	783	214	300
WILKINS	24	140	364	84	110
WILKINS	25	333	834	222	319
WILKINS	26	334	808	270	365
WILKINS	27	434	1048	416	558
WILKINS	28	411	954	422	532
WILKINS	29	448	1036	459	583
WILKINS	30	546	1246	546	711
WILKINS	31	644	1462	547	710
WILKINS	32	448	1066	438	556
WILKINS	33	471	1125	461	574
WILKINS	34	479	1027	480	620
WILKINS	35	572	1275	394	476
WILKINS	36	462	994	289	361
WILKINS	37	134	305	152	198
